,Player Name,Nation,Squad,Competition,Matches Played,Minutes Played,Gls 90,Ast 90,G+A 90,xG 90,xAG 90,Position,Age,Yellow Cards,Red Cards,Fouls commited,Fouls Drawn,Interceptions,Loose Ball Recovered,Aerial Duels Won %,Crosses,Shots on Target pr 90,Shots Total pr 90,Goals pr shot,Goals pr Shot on target,Average shooting distance,Short Cmp %,Medium Cmp%,Long Cmp%,Passes lead to shot,Completed passes into 1/3 offensive pitch,Completed passes into penalty area,Completed crosses into penalty area,Progressive passes,Tackles,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Tackle succes %,Number of times dribbled,Blocks total (shots+passes),Shots blocked,Passes blocked,Clearances,Shot creating actions 90,Completed liveball passes lead to shot,Completed deadball passes lead to shot,Succesfull dribbles lead to shot,Shot lead to another shot,Fouls Drawn lead to shot,Defensive actions lead to shot,Goal Creating Action 90,liveball passes lead to goal,Deadball passes lead to goal,Dribbles lead to goal,Shots that lead goal scoring shot,Fouls drawn lead to goal,Defensive actions lead to goal,Elo,market_value
2416,raphael guzzo,pt POR,Vizela,PRI,11,791,0.11,0.34,0.46,0.08,0.1,MF,27.0,2,0,10,5,0,19.0,62.5,3,0.23,0.91,0.13,0.5,16.0,88.0,81.2,54.7,8.0,36.0,6.0,0.0,35.0,28.0,9.0,15.0,4.0,76.5,4.0,12.0,2.0,10.0,10.0,1.48,8.0,4.0,0.0,0.0,0.0,1.0,0.34,1.0,1.0,0.0,0.0,0.0,1.0,1427,500000.0
2421,jordan holsgrove,sct SCO,Paços,PRI,6,363,0.0,0.0,0.0,0.08,0.04,MF,23.0,2,0,9,3,11,69.0,72.7,30,0.25,1.24,0.0,0.0,24.9,90.5,89.2,71.4,3.0,17.0,0.0,0.0,10.0,11.0,4.0,7.0,0.0,57.1,6.0,5.0,0.0,5.0,1.0,3.47,12.0,0.0,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1383,400000.0
2422,andre horta,pt POR,Braga,PRI,12,785,0.0,0.11,0.11,0.06,0.15,MF,26.0,0,0,1,0,2,16.0,50.0,0,0.46,1.38,0.0,0.0,28.5,93.6,91.5,58.6,16.0,64.0,10.0,3.0,47.0,15.0,6.0,6.0,3.0,45.0,11.0,11.0,4.0,7.0,6.0,4.8,25.0,16.0,0.0,1.0,0.0,0.0,0.46,2.0,2.0,0.0,0.0,0.0,0.0,1673,5000000.0
2423,ricardo horta,pt POR,Braga,PRI,13,1146,0.31,0.31,0.63,0.47,0.25,MF,28.0,1,0,10,13,18,74.0,33.3,42,1.26,3.22,0.07,0.19,23.0,89.3,80.6,53.8,37.0,50.0,18.0,2.0,43.0,13.0,2.0,4.0,7.0,42.1,11.0,11.0,1.0,10.0,7.0,6.13,61.0,4.0,0.0,6.0,6.0,1.0,0.55,5.0,1.0,0.0,0.0,0.0,1.0,1673,20000000.0
2426,goncalo inacio,pt POR,Sporting CP,PRI,12,947,0.0,0.1,0.1,0.06,0.02,DF,21.0,1,0,7,15,11,48.0,54.5,27,0.1,0.67,0.0,0.0,16.5,93.3,94.4,70.8,6.0,111.0,2.0,0.0,51.0,11.0,9.0,2.0,0.0,46.2,7.0,8.0,4.0,4.0,28.0,2.47,24.0,0.0,1.0,0.0,0.0,1.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,1747,23000000.0
2435,joca,pt POR,Rio Ave,PRI,6,416,0.0,0.22,0.22,0.07,0.04,MF,26.0,0,0,5,5,2,9.0,100.0,2,0.0,1.73,0.0,0.0,23.2,90.9,72.9,76.2,2.0,7.0,5.0,1.0,13.0,3.0,2.0,1.0,0.0,50.0,2.0,3.0,0.0,3.0,0.0,1.73,4.0,1.0,1.0,2.0,0.0,0.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,1460,450000.0
2436,henrique jocu,pt POR,Portimonense,PRI,11,418,0.0,0.0,0.0,0.01,0.1,MF,21.0,0,0,0,0,0,5.0,0.0,0,0.0,0.22,0.0,0.0,28.4,85.7,88.4,63.9,3.0,5.0,3.0,3.0,7.0,12.0,5.0,7.0,0.0,28.6,10.0,6.0,3.0,3.0,5.0,1.51,5.0,1.0,0.0,0.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,0.0,1.0,1473,400000.0
2440,juninho,br BRA,Chaves,PRI,10,446,0.2,0.0,0.2,0.18,0.19,FW,26.0,2,0,11,3,13,31.0,37.5,3,0.61,2.22,0.09,0.33,14.8,71.0,75.0,50.0,2.0,4.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,22.2,7.0,1.0,0.0,1.0,2.0,1.82,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469,300000.0
2441,welinton junior,br BRA,Portimonense,PRI,8,719,0.38,0.0,0.38,0.51,0.04,FW,29.0,0,0,1,13,1,22.0,50.0,10,1.5,4.63,0.05,0.17,18.2,74.6,79.5,50.0,3.0,9.0,6.0,0.0,13.0,10.0,1.0,5.0,4.0,25.0,9.0,3.0,0.0,3.0,6.0,2.13,9.0,0.0,1.0,5.0,2.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,1473,900000.0
2443,junior kadile,fr FRA,Famalicão,PRI,11,618,0.15,0.0,0.15,0.22,0.07,FW,19.0,0,0,0,0,0,5.0,100.0,1,0.73,2.48,0.06,0.2,19.4,82.4,61.2,23.8,6.0,6.0,6.0,4.0,7.0,18.0,9.0,7.0,2.0,28.6,10.0,5.0,0.0,5.0,5.0,2.19,9.0,0.0,4.0,2.0,0.0,0.0,0.29,1.0,0.0,1.0,0.0,0.0,0.0,1476,600000.0
2449,ruben lameiras,pt POR,Vitória,PRI,12,837,0.11,0.11,0.22,0.2,0.15,FW,27.0,0,0,0,2,1,3.0,0.0,1,0.75,2.37,0.0,0.0,21.1,79.2,76.1,52.6,18.0,22.0,17.0,5.0,28.0,12.0,5.0,4.0,3.0,41.7,7.0,5.0,0.0,5.0,1.0,3.98,24.0,3.0,5.0,1.0,3.0,1.0,0.22,2.0,0.0,0.0,0.0,0.0,0.0,1547,1500000.0
2450,bruno langa,mz MOZ,Chaves,PRI,9,754,0.0,0.0,0.0,0.01,0.05,DF,25.0,0,0,2,0,0,2.0,100.0,0,0.0,0.6,0.0,0.0,30.9,83.8,72.8,44.8,8.0,23.0,8.0,3.0,33.0,14.0,10.0,3.0,1.0,53.8,6.0,13.0,2.0,11.0,24.0,2.39,12.0,2.0,4.0,0.0,1.0,1.0,0.24,2.0,0.0,0.0,0.0,0.0,0.0,1469,700000.0
2451,james lea siliki,cm CMR,Estoril,PRI,13,510,0.53,0.0,0.53,0.12,0.08,MF,26.0,0,0,0,1,0,0.0,0.0,2,1.06,2.12,0.25,0.5,22.9,75.5,70.7,42.2,8.0,16.0,8.0,4.0,15.0,6.0,3.0,3.0,0.0,33.3,2.0,6.0,2.0,4.0,2.0,2.65,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459,1500000.0
2452,leonardo lelo,pt POR,Casa Pia,PRI,13,1170,0.08,0.23,0.31,0.15,0.13,MF,22.0,0,0,7,8,2,34.0,0.0,24,0.08,0.54,0.0,0.0,19.7,91.4,76.3,43.5,7.0,31.0,11.0,7.0,32.0,25.0,19.0,6.0,0.0,63.6,8.0,13.0,2.0,11.0,28.0,2.0,19.0,1.0,2.0,1.0,1.0,2.0,0.38,3.0,0.0,0.0,1.0,0.0,1.0,1467,1500000.0
2454,ruben lima,pt POR,Famalicão,PRI,12,848,0.0,0.0,0.0,0.0,0.06,DF,33.0,1,0,4,6,5,19.0,50.0,3,0.11,0.32,0.0,0.0,24.7,82.9,78.2,44.7,7.0,37.0,8.0,6.0,28.0,16.0,10.0,6.0,0.0,42.9,4.0,13.0,4.0,9.0,37.0,0.96,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476,200000.0
2461,luquinha,br BRA,Portimonense,PRI,13,878,0.1,0.1,0.21,0.11,0.15,MF,22.0,2,0,6,4,7,58.0,83.3,33,0.41,1.54,0.07,0.25,18.2,85.2,84.4,54.3,23.0,37.0,12.0,3.0,37.0,15.0,8.0,2.0,5.0,43.8,9.0,17.0,2.0,15.0,2.0,4.92,32.0,8.0,2.0,4.0,1.0,1.0,0.31,2.0,0.0,0.0,0.0,1.0,0.0,1473,700000.0
2464,pedro malheiro,pt POR,Boavista,PRI,13,1170,0.0,0.23,0.23,0.03,0.07,MF,21.0,2,0,15,3,8,52.0,26.9,17,0.15,0.77,0.0,0.0,25.6,89.8,83.6,46.0,7.0,36.0,7.0,7.0,28.0,40.0,21.0,18.0,1.0,66.7,8.0,19.0,1.0,18.0,25.0,1.38,15.0,2.0,0.0,0.0,0.0,1.0,0.23,2.0,1.0,0.0,0.0,0.0,0.0,1469,1000000.0
2465,ricardo mangas,pt POR,Boavista,PRI,8,383,0.0,0.0,0.0,0.04,0.02,MF,24.0,0,0,1,9,0,12.0,73.3,1,0.23,0.47,0.0,0.0,10.1,87.8,70.5,47.8,3.0,6.0,1.0,0.0,5.0,5.0,5.0,0.0,0.0,50.0,3.0,1.0,0.0,1.0,8.0,0.94,4.0,0.0,0.0,0.0,0.0,0.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,1469,1000000.0
2466,juan manuel boselli,uy URU,Gil Vicente FC,PRI,10,533,0.17,0.0,0.17,0.22,0.13,FW,23.0,0,0,2,3,8,81.0,50.0,0,1.18,2.2,0.08,0.14,19.9,87.3,65.0,29.5,10.0,8.0,2.0,1.0,7.0,7.0,3.0,4.0,0.0,31.3,11.0,12.0,0.0,12.0,5.0,4.04,10.0,6.0,5.0,2.0,0.0,1.0,0.34,0.0,0.0,1.0,1.0,0.0,0.0,1471,350000.0
2468,ivan marcano,es ESP,Porto,PRI,6,520,0.52,0.0,0.52,0.2,0.02,DF,35.0,0,0,10,12,7,64.0,43.8,20,0.52,1.21,0.43,1.0,8.9,97.0,93.2,76.7,2.0,18.0,2.0,0.0,17.0,2.0,2.0,0.0,0.0,33.3,2.0,5.0,3.0,2.0,15.0,0.69,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841,500000.0
2470,adrian marin,es ESP,Gil Vicente FC,PRI,10,838,0.0,0.0,0.0,0.02,0.15,DF,25.0,3,0,18,26,2,46.0,70.0,45,0.0,0.32,0.0,0.0,13.9,89.0,73.6,37.0,11.0,40.0,15.0,5.0,49.0,13.0,8.0,4.0,1.0,66.7,4.0,6.0,1.0,5.0,28.0,2.47,20.0,1.0,1.0,1.0,0.0,0.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,1471,1500000.0
2471,joao mario,pt POR,Benfica,PRI,12,909,0.59,0.3,0.89,0.54,0.38,FW,29.0,0,0,6,7,2,24.0,33.3,1,0.59,2.48,0.08,0.33,21.5,93.4,85.7,50.8,28.0,25.0,25.0,10.0,45.0,17.0,5.0,8.0,4.0,66.7,4.0,8.0,1.0,7.0,4.0,6.83,48.0,9.0,4.0,3.0,5.0,0.0,0.79,7.0,0.0,0.0,1.0,0.0,0.0,1856,12000000.0
2476,rafael martins,br BRA,Casa Pia,PRI,12,623,0.29,0.14,0.43,0.19,0.07,FW,33.0,0,0,0,1,0,3.0,100.0,0,0.43,2.17,0.13,0.67,18.3,67.5,62.8,66.7,6.0,13.0,1.0,0.0,12.0,4.0,0.0,3.0,1.0,0.0,1.0,7.0,0.0,7.0,7.0,2.17,10.0,0.0,0.0,4.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,1467,200000.0
2477,rodrigo martins,pt POR,Estoril,PRI,13,743,0.24,0.0,0.24,0.29,0.1,FW,24.0,0,0,8,1,5,59.0,38.9,13,0.73,2.06,0.12,0.33,17.8,81.1,67.2,50.0,6.0,8.0,7.0,1.0,14.0,9.0,1.0,5.0,3.0,36.4,7.0,5.0,1.0,4.0,4.0,2.17,14.0,0.0,2.0,1.0,1.0,0.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,1459,700000.0
2481,diogo mendes,pt POR,Marítimo,PRI,13,949,0.0,0.0,0.0,0.02,0.03,MF,24.0,0,0,0,1,0,4.0,0.0,0,0.0,0.28,0.0,0.0,7.1,88.3,87.2,68.6,6.0,30.0,4.0,1.0,24.0,26.0,8.0,17.0,1.0,64.0,9.0,17.0,0.0,17.0,8.0,1.61,11.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423,500000.0
2482,joao mendes,pt POR,Chaves,PRI,12,905,0.2,0.0,0.2,0.21,0.1,MF,28.0,0,0,9,10,8,27.0,59.4,22,0.7,1.89,0.11,0.29,20.1,85.8,77.9,79.7,14.0,46.0,10.0,0.0,57.0,14.0,4.0,8.0,2.0,53.8,6.0,11.0,0.0,11.0,3.0,3.58,30.0,0.0,2.0,0.0,4.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1469,500000.0
2486,enea mihaj,al ALB,Famalicão,PRI,11,990,0.0,0.0,0.0,0.07,0.0,DF,24.0,1,0,10,5,4,41.0,56.3,16,0.0,0.55,0.0,0.0,14.8,91.3,94.6,68.7,1.0,21.0,1.0,0.0,20.0,16.0,11.0,4.0,1.0,66.7,3.0,14.0,10.0,4.0,31.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,1476,1000000.0
2487,alex millan,es ESP,Famalicão,PRI,13,772,0.23,0.0,0.23,0.33,0.15,FW,23.0,1,0,6,3,24,93.0,63.6,0,0.7,1.17,0.2,0.33,14.2,77.4,76.2,63.6,12.0,5.0,8.0,3.0,8.0,6.0,1.0,1.0,4.0,44.4,5.0,6.0,1.0,5.0,6.0,2.56,16.0,0.0,2.0,2.0,2.0,0.0,0.23,1.0,0.0,0.0,0.0,1.0,0.0,1476,800000.0
2491,nelson monte,pt POR,Chaves,PRI,12,1079,0.0,0.0,0.0,0.05,0.02,DF,27.0,0,0,0,0,1,19.0,100.0,0,0.08,0.17,0.0,0.0,8.3,85.8,92.6,64.3,2.0,29.0,0.0,0.0,36.0,7.0,5.0,2.0,0.0,41.7,7.0,10.0,8.0,2.0,68.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469,800000.0
2495,hidemasa morita,jp JPN,Sporting CP,PRI,12,807,0.33,0.11,0.45,0.28,0.06,MF,27.0,2,0,19,21,10,43.0,60.0,14,0.56,1.23,0.27,0.6,13.5,90.1,91.3,79.5,4.0,39.0,7.0,1.0,34.0,23.0,6.0,13.0,4.0,61.5,5.0,13.0,3.0,10.0,5.0,1.23,10.0,0.0,0.0,1.0,0.0,0.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,1747,7000000.0
2496,fahd moufi,ma MAR,Portimonense,PRI,12,1018,0.0,0.09,0.09,0.03,0.14,DF,26.0,0,0,0,0,0,2.0,100.0,0,0.18,0.35,0.0,0.0,17.4,85.2,75.5,38.5,16.0,25.0,15.0,9.0,22.0,13.0,3.0,8.0,2.0,58.3,5.0,17.0,12.0,5.0,29.0,2.74,23.0,5.0,1.0,0.0,2.0,0.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,1473,1500000.0
2499,rafa mujica,es ESP,Arouca,PRI,13,666,0.41,0.0,0.41,0.28,0.04,FW,24.0,1,0,2,13,4,23.0,55.6,5,1.22,2.3,0.18,0.33,16.5,76.6,72.7,50.0,4.0,1.0,2.0,0.0,3.0,7.0,0.0,4.0,3.0,0.0,4.0,11.0,0.0,11.0,8.0,1.76,5.0,1.0,2.0,4.0,0.0,1.0,0.27,0.0,0.0,1.0,1.0,0.0,0.0,1440,600000.0
2502,fran navarro,es ESP,Gil Vicente FC,PRI,13,1145,0.63,0.08,0.71,0.59,0.08,FW,24.0,1,0,0,0,1,21.0,100.0,0,1.18,2.59,0.18,0.4,13.7,79.5,80.5,60.0,7.0,5.0,1.0,0.0,11.0,3.0,0.0,2.0,1.0,20.0,4.0,9.0,0.0,9.0,3.0,1.41,11.0,0.0,3.0,2.0,2.0,0.0,0.24,1.0,0.0,1.0,0.0,1.0,0.0,1471,5000000.0
2504,mor ndiaye,sn SEN,Estoril,PRI,12,725,0.0,0.0,0.0,0.05,0.04,MF,22.0,3,0,9,5,5,76.0,29.0,37,0.12,0.5,0.0,0.0,15.4,86.0,90.1,65.0,6.0,10.0,0.0,0.0,14.0,19.0,8.0,10.0,1.0,81.3,3.0,10.0,8.0,2.0,38.0,0.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459,850000.0
2507,david neres,br BRA,Benfica,PRI,11,754,0.48,0.24,0.72,0.15,0.31,FW,25.0,0,0,11,4,3,39.0,0.0,19,1.07,2.15,0.22,0.44,19.4,86.0,82.0,47.6,16.0,19.0,24.0,6.0,31.0,8.0,1.0,5.0,2.0,57.1,3.0,7.0,0.0,7.0,0.0,5.38,26.0,8.0,5.0,6.0,0.0,0.0,0.72,4.0,0.0,1.0,1.0,0.0,0.0,1856,22000000.0
2508,neto,br BRA,Casa Pia,PRI,13,685,0.13,0.13,0.26,0.06,0.05,MF,31.0,1,0,10,6,15,58.0,60.0,0,0.26,0.92,0.14,0.5,25.2,87.8,86.8,60.5,9.0,29.0,3.0,1.0,28.0,16.0,9.0,6.0,1.0,31.3,11.0,11.0,3.0,8.0,10.0,2.24,13.0,3.0,0.0,1.0,0.0,0.0,0.26,2.0,0.0,0.0,0.0,0.0,0.0,1467,2500000.0
2510,sikou niakate,fr FRA,Braga,PRI,10,820,0.11,0.0,0.11,0.05,0.02,DF,23.0,0,0,4,6,12,44.0,55.6,27,0.22,0.66,0.17,0.5,12.4,93.8,92.6,47.1,5.0,29.0,3.0,1.0,31.0,12.0,7.0,4.0,1.0,50.0,6.0,11.0,5.0,6.0,36.0,0.88,7.0,0.0,0.0,0.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,1673,3000000.0
2512,miguel nobrega,pt POR,Rio Ave,PRI,8,467,0.0,0.0,0.0,0.03,0.03,DF,22.0,3,0,16,9,17,73.0,52.3,10,0.39,0.58,0.0,0.0,15.5,90.2,86.8,45.5,2.0,13.0,0.0,0.0,9.0,7.0,4.0,2.0,1.0,62.5,3.0,10.0,6.0,4.0,20.0,0.77,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460,300000.0
2514,joao nunes,pt POR,Casa Pia,PRI,10,802,0.11,0.0,0.11,0.03,0.0,DF,27.0,0,0,0,1,0,2.0,100.0,0,0.34,0.45,0.25,0.33,10.5,92.9,86.8,47.8,2.0,36.0,2.0,0.0,32.0,28.0,22.0,6.0,0.0,86.4,3.0,17.0,12.0,5.0,38.0,0.67,5.0,0.0,0.0,0.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,1467,700000.0
2520,bruno onyemaechi,ng NGA,Boavista,PRI,10,886,0.0,0.0,0.0,0.02,0.05,DF,23.0,1,0,11,8,27,93.0,33.3,51,0.0,0.81,0.0,0.0,26.7,87.2,77.8,39.7,6.0,19.0,4.0,3.0,18.0,20.0,15.0,5.0,0.0,68.8,5.0,6.0,2.0,4.0,30.0,1.12,11.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1469,1000000.0
2522,jerome opoku,eng ENG,Arouca,PRI,11,983,0.0,0.09,0.09,0.0,0.04,DF,24.0,1,0,0,1,1,1.0,100.0,0,0.0,0.09,0.0,0.0,39.1,90.3,90.6,47.4,3.0,16.0,0.0,0.0,13.0,12.0,10.0,2.0,0.0,75.0,2.0,14.0,7.0,7.0,55.0,0.64,7.0,0.0,0.0,0.0,0.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,1440,700000.0
2523,milutin osmajic,me MNE,Vizela,PRI,11,502,0.18,0.0,0.18,0.34,0.03,FW,23.0,0,0,2,0,0,1.0,50.0,0,0.9,1.97,0.09,0.2,16.1,67.9,45.8,50.0,5.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,50.0,1.0,4.0,0.0,4.0,3.0,2.14,7.0,0.0,1.0,3.0,1.0,0.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,1427,700000.0
2524,nicolas otamendi,ar ARG,Benfica,PRI,12,1079,0.0,0.0,0.0,0.09,0.0,DF,34.0,1,0,8,12,13,44.0,73.3,14,0.17,1.17,0.0,0.0,10.7,93.7,95.7,84.1,1.0,56.0,0.0,0.0,52.0,26.0,13.0,12.0,1.0,64.3,10.0,9.0,2.0,7.0,37.0,1.0,9.0,1.0,0.0,2.0,0.0,0.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,1856,3000000.0
2528,renato pantalon,hr CRO,Rio Ave,PRI,6,415,0.0,0.0,0.0,0.03,0.0,DF,25.0,0,0,13,6,15,74.0,64.5,28,0.0,0.43,0.0,0.0,11.0,77.8,86.8,73.7,0.0,6.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,50.0,1.0,4.0,3.0,1.0,18.0,0.43,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460,475000.0
2531,patrick,br BRA,Rio Ave,PRI,7,454,0.0,0.0,0.0,0.05,0.1,DF,25.0,1,0,3,4,2,24.0,44.4,18,0.0,0.59,0.0,0.0,10.3,93.5,88.2,68.0,3.0,18.0,5.0,1.0,20.0,8.0,3.0,4.0,1.0,36.4,7.0,4.0,1.0,3.0,13.0,0.99,5.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1460,175000.0
2532,paulinho,pt POR,Sporting CP,PRI,8,455,0.2,0.2,0.4,0.33,0.29,FW,30.0,2,0,8,3,14,57.0,56.3,1,0.59,2.37,0.08,0.33,14.4,76.1,81.1,60.0,5.0,9.0,3.0,0.0,8.0,12.0,1.0,10.0,1.0,57.1,3.0,4.0,0.0,4.0,5.0,2.38,9.0,0.0,0.0,3.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,1747,7000000.0
2533,pedrao,br BRA,Portimonense,PRI,10,900,0.1,0.0,0.1,0.06,0.02,DF,25.0,0,0,4,2,5,27.0,20.0,3,0.2,0.6,0.17,0.5,14.2,88.4,94.4,58.2,3.0,45.0,3.0,0.0,23.0,13.0,11.0,2.0,0.0,70.0,3.0,13.0,8.0,5.0,41.0,1.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,1500000.0
2534,pele,gw GNB,Famalicão,PRI,10,586,0.0,0.0,0.0,0.02,0.0,MF,31.0,0,0,8,8,0,28.0,33.3,11,0.0,0.31,0.0,0.0,24.0,90.4,94.9,68.8,0.0,20.0,1.0,0.0,25.0,13.0,8.0,4.0,1.0,66.7,3.0,5.0,3.0,2.0,4.0,0.61,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476,1000000.0
2535,pepe,br BRA,Porto,PRI,13,1124,0.16,0.32,0.48,0.1,0.22,MF,25.0,0,0,0,3,6,21.0,54.5,7,0.24,1.12,0.14,0.67,22.8,85.2,75.7,61.8,21.0,44.0,18.0,5.0,39.0,17.0,8.0,6.0,3.0,39.3,17.0,7.0,0.0,7.0,6.0,3.52,37.0,1.0,3.0,1.0,1.0,1.0,0.56,6.0,0.0,0.0,1.0,0.0,0.0,1841,1000000.0
2536,pepe,pt POR,Porto,PRI,7,544,0.0,0.0,0.0,0.02,0.0,DF,39.0,0,0,3,6,5,16.0,20.0,29,0.17,0.5,0.0,0.0,16.8,92.2,90.8,62.1,1.0,33.0,1.0,0.0,30.0,16.0,9.0,7.0,0.0,56.3,7.0,3.0,2.0,1.0,21.0,1.49,8.0,0.0,1.0,0.0,0.0,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1841,1000000.0
2545,rui pires,pt POR,Paços,PRI,12,980,0.0,0.0,0.0,0.0,0.03,MF,24.0,2,0,9,13,21,114.0,45.5,56,0.0,0.09,0.0,0.0,25.1,86.7,92.0,72.6,5.0,33.0,2.0,1.0,28.0,29.0,11.0,14.0,4.0,50.0,12.0,16.0,3.0,13.0,12.0,1.56,15.0,0.0,0.0,1.0,1.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,1383,700000.0
2547,pedro porro,es ESP,Sporting CP,PRI,10,714,0.0,0.5,0.5,0.15,0.4,DF,23.0,0,0,0,0,0,4.0,100.0,0,0.76,3.53,0.0,0.0,23.0,86.1,75.4,44.4,22.0,19.0,20.0,10.0,24.0,14.0,7.0,6.0,1.0,50.0,9.0,5.0,0.0,5.0,9.0,4.04,21.0,5.0,1.0,2.0,2.0,1.0,0.88,5.0,0.0,0.0,2.0,0.0,0.0,1747,25000000.0
2548,quaresma,br BRA,Arouca,PRI,12,971,0.09,0.0,0.09,0.01,0.02,DF,26.0,1,0,3,3,15,42.0,62.5,2,0.09,0.28,0.33,1.0,32.1,89.2,74.7,49.5,5.0,32.0,6.0,3.0,35.0,17.0,13.0,4.0,0.0,52.9,8.0,8.0,1.0,7.0,30.0,2.13,16.0,3.0,1.0,1.0,2.0,0.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,1440,800000.0
2553,flavio ramos,br BRA,Paços,PRI,8,659,0.0,0.0,0.0,0.02,0.0,DF,28.0,0,0,1,4,2,14.0,23.1,11,0.0,0.41,0.0,0.0,18.6,88.0,91.1,63.3,0.0,4.0,0.0,0.0,8.0,6.0,4.0,2.0,0.0,57.1,3.0,13.0,9.0,4.0,37.0,0.82,5.0,0.0,0.0,1.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,1383,400000.0
2554,goncalo ramos,pt POR,Benfica,PRI,11,798,1.02,0.11,1.13,1.01,0.06,FW,21.0,0,0,0,0,0,1.0,100.0,0,1.69,4.06,0.25,0.6,8.5,78.9,85.7,66.7,7.0,2.0,1.0,0.0,5.0,4.0,0.0,2.0,2.0,50.0,1.0,2.0,2.0,0.0,11.0,1.92,9.0,0.0,1.0,5.0,2.0,0.0,0.23,0.0,0.0,0.0,2.0,0.0,0.0,1856,24000000.0
2558,filipe relvas,pt POR,Portimonense,PRI,13,1160,0.0,0.08,0.08,0.07,0.02,DF,23.0,0,0,2,3,1,15.0,36.4,16,0.23,0.54,0.0,0.0,9.0,85.1,91.8,66.9,4.0,44.0,4.0,1.0,32.0,10.0,7.0,2.0,1.0,71.4,2.0,14.0,11.0,3.0,69.0,0.85,8.0,0.0,0.0,2.0,1.0,0.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,1473,1000000.0
2559,ricardinho,pt POR,Santa Clara,PRI,12,934,0.0,0.1,0.1,0.03,0.1,FW,24.0,0,0,4,5,2,16.0,60.9,5,0.19,0.58,0.0,0.0,18.3,82.5,73.0,59.1,14.0,18.0,13.0,0.0,27.0,8.0,2.0,4.0,2.0,40.0,6.0,6.0,1.0,5.0,5.0,2.69,24.0,0.0,1.0,1.0,2.0,0.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0,1494,800000.0
2560,riccieli,br BRA,Famalicão,PRI,10,900,0.0,0.0,0.0,0.02,0.06,DF,24.0,0,0,3,9,1,10.0,66.7,3,0.0,0.5,0.0,0.0,12.3,80.2,93.1,68.4,2.0,10.0,0.0,0.0,9.0,16.0,12.0,4.0,0.0,50.0,8.0,20.0,9.0,11.0,66.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476,1500000.0
